Restaurant_Name,Cuisine,Location,,Rating,Dish_Name,Dish_Price
Malabar Bay, Desserts,koramangala,,10000,veg julfreizi,180
Malabar Bay, Biryani,koramangala,,10000,paneer tawa masala,220
Malabar Bay, Desserts,koramangala,,10000,paneer butter masala,220
Malabar Bay, South Indian,koramangala,,10000,mur mura bhindi,160
Malabar Bay, South Indian,koramangala,,10000,malai kofta,230
Malabar Bay, South Indian,koramangala,,10000,idiyappam(3pcs) Chemmeen(Prawns) Curriyum,340
Malabar Bay, Biryani,koramangala,,10000,bhindi masala,160
A2B - Adyar Ananda Bhavan, Chinese,shanti-nagar,,10000,[100gms]potato Chips Salt,66.96
KFC,Burgers,shanti-nagar,,1000,Zinger & Chicken Combo -for 2,524.76
Cotton Candy Station,Beverages,rajajinagar,,10,Zesty Orange Cotton Candy,160
The Himalayan Momo Company, Beverages,indiranagar,,1000,Zesty Chicken Bytes,209
KOLKOTA CHAT CENTRE, Fast Food,indiranagar,,100,Zeera Parotha (2 Nos),80
Punjabi Paratha,North Indian,indiranagar,,50,Zeera Paratha [2 Nos],149
Book My cakes, Continental,indiranagar,,500,Zebra Chocolate Cake (Half kg),400
Om Sai Ram Food Junction, Biryani,indiranagar,,100,Yummylicious Gulab Jamun (2pc's),68
Sri Ram Bhojanalay, South Indian,indiranagar,,100,Yummylicious Aloo Tamatar Dry Masala Sabzi,108
Om meals and paratha junction, Biryani,domlur,,100,Yummylicious Aloo Tamatar Dry Masala Sabzi,100
Om meals and paratha junction, South Indian,domlur,,100,Yummy Veg Fried Rice,100
Sri Ram Bhojanalay, South Indian,indiranagar,,100,Yummy Veg Fried Rice,108
Sri Ram Bhojanalay, Fast Food,indiranagar,,100,Yummy Paneer Butter Masala,128
Om Sai Ram Food Junction, Desserts,indiranagar,,100,Yummy Grape Flavored Lassi,78
Om Sai Ram Food Junction, Desserts,indiranagar,,100,Yummy Gobhi Wale Paratha (2pc's),133
Myfroyoland - Premium Frozen Yogurt, Keto,seshadripuram,,20,Yum Bubblegum,300
Just Burger Off,American,indiranagar,,100,You Hot Dog,292
Fresh Pressery Cafe, Italian,koramangala,,10000,Yellow Hydration (200 Ml),135
Sangam Sweets, Desserts,seshadripuram,,1000,Yellow Banana Chips 200G,93.75
Kaati Zone Rolls & Wraps,Fast Food,vasanth-nagar,,100,XL Veg Finger Roll,169
Kaati Zone Rolls & Wraps, Desserts,vasanth-nagar,,100,XL Schezwan Chicken Roll,229
Kaati Zone Rolls & Wraps, Bengali,vasanth-nagar,,100,XL Mixed Veg Roll,159
Kaati Zone Rolls & Wraps, Desserts,vasanth-nagar,,100,XL Egg and Cheese Roll,209
Kaati Zone Rolls & Wraps, Beverages,vasanth-nagar,,100,XL Chilli Paneer Roll,219
Kaati Zone Rolls & Wraps,Fast Food,vasanth-nagar,,100,XL Chicken Tikka Roll,229
Kaati Zone Rolls & Wraps, Desserts,vasanth-nagar,,100,XL Chicken Shami Roll,199
Kaati Zone Rolls & Wraps, Desserts,vasanth-nagar,,100,XL Bhuna Chicken Roll,229
Kaati Zone Rolls & Wraps,Fast Food,vasanth-nagar,,100,XL Batata Vada Roll,179
Brik Oven, Beverages,course-road,,100,Wolf Wolf Pizza,530
Polar Bear Ice Cream Sundaes,Ice Cream,town,,1000,Wild Strawberry Milkshake,139
Om Sai Ram Food Junction, Chinese,indiranagar,,100,Whole wheat plain phulka (4 pc's),86
Om Sai Ram Food Junction, South Indian,indiranagar,,100,Whole wheat paratha sabziwali thali with less oil,178
Om Sai Ram Food Junction, Bengali,indiranagar,,100,Whole wheat methi ke parathe with less oil (4 pc's),178
Paratha Pradise,North Indian,kalyan-nagar,,0,Whole Wheat Sattu Paratha [2 Pieces],190
Paratha Pradise,North Indian,kalyan-nagar,,0,Whole Wheat Pyaz Paratha [2 Pieces],159
Paratha Pradise,North Indian,kalyan-nagar,,0,Whole Wheat Paneer Paratha [2 Pieces],239
Paratha Pradise,North Indian,kalyan-nagar,,0,Whole Wheat Paneer Cheese [2 Pieces],283
Home Plate by EatFit,North Indian,cunningham-road,,100,Whole Wheat Noodles with Chilli Paneer,269
Home Plate by EatFit, Healthy Food,cunningham-road,,100,Whole Wheat Noodles with Chilli Chicken,289
Paratha Pradise,North Indian,kalyan-nagar,,0,Whole Wheat Meethi Paratha [2 Piece],159
Paratha Pradise,North Indian,kalyan-nagar,,0,Whole Wheat Matar Paratha [2 Pieces],169
The Baker's Dozen, Juices,vasanth-nagar,,100,Whole Wheat Loaf (100% Whole Wheat),59
Paratha Pradise,North Indian,kalyan-nagar,,0,Whole Wheat Gobi Paratha [2 Pieces],169
Paratha Pradise,North Indian,kalyan-nagar,,0,Whole Wheat Cheese Paratha [2 Pieces],211
Cakewala,Desserts,jaya-nagar,,5000,Whole Wheat Bread,81
Paratha Pradise,North Indian,kalyan-nagar,,0,Whole Wheat Aloo Paratha [2 Pieces],169
Paratha Pradise,North Indian,kalyan-nagar,,0,Whole Wheat Aloo Matar [2 Pieces],169
Paratha Pradise,North Indian,kalyan-nagar,,0,Whole Wheat Aloo Cheese [2 Pieces],239
Just Burger Off,American,indiranagar,,100,Who Mooed My Fries,317
GOWDRU MILTRY HOTEL,South Indian,jaya-nagar,,0,White rice,50
Cake Party,Bakery,jaya-nagar,,0,White forest,480
Cake Party,Bakery,jaya-nagar,,0,White forest,450
Thottathil Restaurant,South Indian,layout,,10000,White Rice (with fish gravy),140
Jay Jaganath Bengali Mess,North Indian,mathikere,,1000,White Rice,50
FACE CAKE (THE PASTRY HUB),Bakery,rt-nagar,,10,White Queen Cake,65
Paratha Town,Indian,koramangala,,10,White Peas Paratha,169
Sangam Sweets,North Indian,seshadripuram,,1000,White Malai Peda,167.62
Winni Cakes & More, Desserts,jp-nagar,,50,White Forest Pastry ,79
Cakes & Pastries,Bakery,rajajinagar,,100,White Forest Pastry,400
All Saints Bakery, Desserts,ashok-nagar,,5000,White Forest Cake (500 grams),415.25
"Just Bake - Bakery, Desserts, Cakes & Confectioners",Desserts,banashankari,,1000,White Forest Cake (500 gms),610
Cakes Tree,Bakery,rajajinagar,,0,White Forest Cake,449.9
Winni Cakes & More, Desserts,jp-nagar,,50,White Forest Cake,349
Cake House,Bakery,kalyan-nagar,,20,White Forest Cake,550
JUST BAKE-CHANDRA LAYOUT,Bakery,vijay-nagar,,10,White Forest (With Egg),624
The Pastry Cafe,Bakery,layout,,10,White Fantasy [Small Eggless],385
The Pastry Cafe, Desserts,layout,,10,White Fantasy [Small Cakes],355
The Pastry Cafe,Bakery,layout,,10,White Fantasy [Big Eggless],695
The Pastry Cafe,Bakery,layout,,10,White Fantasy [Big Cakes],635
Chai Nagri, Snacks,sanjay-nagar,,20,White Egg Chaat,90
SLAY Coffee Bar,Beverages,st-marks-road,,100,White Chocolate Rice Crispy Treat,50
IYENGAR BAKERY SWEETS AND CHATS, Sweets,layout,,20,White Chocolate Pastry,85
All Saints Bakery, Desserts,ashok-nagar,,5000,White Bread,45
,,,,,,
,,,,,,
REEZ RESTAURANT,Chinese,central,,20,Whey Protein    ,189
Sangam Sweets, Desserts,seshadripuram,,1000,Wheat Soanpapdi 500G,323.81
Sangam Sweets,North Indian,seshadripuram,,1000,Wheat Soanpapdi 250G,161.9
Sangam Sweets,North Indian,seshadripuram,,1000,Wheat Rusk 200G,76.19
Benjamin Bakes and cakes,Bakery,koramangala,,10,Wheat Rusk,75
Sangam Sweets,North Indian,seshadripuram,,1000,Wheat Puff 100G,44.64
Samovar Restaurant,Kerala,kammanahalli,,10000,Wheat Poratta,36
New Alameen Restaurant, North Indian,halasuru,,1000,Wheat Parotta,139
MTR,South Indian,st-marks-road,,10000,Wheat Dosa,95.24
IYENGAR BAKERY AND SWEETS, Snacks,basavanagudi,,20,Wheat Bread,45
Sangam Sweets,North Indian,seshadripuram,,1000,Wheat Biscuits 250G,105.93
SMOOR, Caf...,lavelle-road,,100,Wellness Barks Giloy,356
SMOOR, Salads,lavelle-road,,100,Wellness Barks Amla,356
CLAY POT TEA, Fast Food,ejipura,,100,Weight Loss Diet Bowl,159
CLAY POT TEA, Fast Food,ejipura,,100,Weight Loss Cold Pressed Juice 200ml(without Water Sugar And Ice ,139
Kaippunnyam Restaurant, Seafood,ashok-nagar,,100,Wayanadan Chicken Curry,248
TIPSY LASSI SHOP,Desserts,central,,50,Watermelon Sundae,499
DOSE,Healthy Food,stage-btm,,0,Watermelon Single,109
CLAY POT TEA, Snacks,ejipura,,100,Watermelon Papaya Bowl,119
,,,,,,
